Date,LQD US Equity  (L1),EMB US Equity  (L1),MUB US Equity  (L1),TIP US Equity  (L1),SHY US Equity  (R1),HYG US Equity  (L1)
11/1/2018,48.6902,54.3764,32.7266,24.364,6.4439,63.6906
10/31/2018,48.2419,53.641,32.7674,24.5226,6.3856,62.9469
10/30/2018,48.6646,54.2869,32.9906,24.8086,6.4368,62.9469
10/29/2018,48.9948,54.1254,33.1393,25.1404,6.488,62.5605
10/26/2018,49.1665,54.786,33.0526,25.2662,6.4496,62.7151
10/25/2018,48.9156,54.5805,32.9906,24.637,6.3856,63.4491
10/24/2018,49.1005,54.0961,33.0402,25.1633,6.424,63.1207
10/23/2018,48.8892,54.6979,34.0691,24.7514,6.2575,63.9321
10/22/2018,48.6778,54.6539,32.6311,24.7171,6.1935,64.0866
10/19/2018,48.8628,54.8154,32.6187,24.7857,6.2191,64.0094
10/18/2018,49.0477,54.9915,32.6931,24.9001,6.2831,63.9128
10/17/2018,49.0477,55.5787,32.4327,24.9917,6.2127,64.6082
10/16/2018,49.7874,55.9457,32.6435,25.2891,6.2191,64.9366
10/15/2018,49.4043,55.3585,32.5815,25.2777,6.2575,64.3764
10/12/2018,49.6817,55.3292,32.5071,25.1976,6.2191,64.4923
10/11/2018,49.6553,54.9769,32.6559,25.3921,6.2191,63.623
10/10/2018,49.0345,54.742,32.5195,25.1861,6.1807,63.4878
10/9/2018,49.4439,55.3879,32.5691,25.312,6.1551,64.6662
10/8/2018,49.0213,55.3292,32.7054,24.9573,6.1167,64.415
10/5/2018,49.1798,55.3732,32.7798,25.0145,6.1423,64.7821
10/4/2018,49.7609,55.843,32.8666,25.3578,6.1551,65.5162
10/3/2018,50.3818,56.944,33.0526,25.6667,6.1807,66.1343
10/2/2018,51.2667,57.7661,33.6104,26.273,6.2319,66.5786
10/1/2018,51.1347,57.6046,33.474,26.0671,6.1935,66.7139
9/28/2018,51.3428,57.6052,33.5146,26.4426,6.223,66.2348
9/27/2018,51.4481,58,33.6012,26.4998,6.1719,66.1194
9/26/2018,51.2506,57.4444,33.4156,26.454,6.1719,65.8117
9/25/2018,50.7107,56.7281,33.2177,26.2369,6.1591,65.6386
9/24/2018,50.7107,56.6112,33.3043,26.2826,6.1463,65.7732
9/21/2018,51.0531,56.772,33.3909,26.4083,6.1463,65.8501
9/20/2018,51.0267,56.4357,33.3661,26.3969,6.1719,65.8117
9/19/2018,50.6317,55.5586,33.2919,26.2254,6.1335,65.5809
9/18/2018,50.8555,55.0031,33.4527,26.3626,6.1591,65.8886
9/17/2018,51.4745,55.4855,33.6259,26.6255,6.1719,65.9078
9/14/2018,51.5666,55.9679,33.663,26.6026,6.1974,66.0232
9/13/2018,51.751,55.7925,33.8362,26.8312,6.2358,65.8694
9/12/2018,51.435,54.2868,33.8114,27.0141,6.223,65.5617
9/11/2018,51.1321,53.7897,33.7496,26.8998,6.223,65.177
9/10/2018,51.4745,54.0821,33.8857,27.1627,6.2869,65.1386
9/7/2018,50.9741,54.3745,33.8609,27.1284,6.2741,64.8116
9/6/2018,51.6061,54.7838,34.2691,27.4942,6.3892,64.9847
9/5/2018,51.1848,54.0967,34.2567,27.3799,6.3508,64.8501
9/4/2018,51.2769,53.9944,34.2196,27.5056,6.3508,65.0232
8/31/2018,51.5557,54.4667,34.4303,27.6814,6.3748,65.3652
8/30/2018,51.7789,54.9471,34.455,27.8295,6.3493,65.1546
8/29/2018,51.6344,55.8061,34.455,27.7156,6.2727,65.2886
8/28/2018,51.792,56.272,34.4179,27.7156,6.2855,65.3843
8/27/2018,52.3696,56.5631,34.5167,27.9662,6.3238,65.4609
8/24/2018,52.606,56.3593,34.5661,28.1598,6.3621,65.4035
8/23/2018,52.304,55.9517,34.5414,28.0345,6.3493,65.1163
8/22/2018,52.2515,56.7233,34.6154,27.932,6.3621,65.1354
8/21/2018,52.2646,56.039,34.4673,27.6586,6.3365,65.078
8/20/2018,52.6453,55.6023,34.5908,27.7384,6.3621,64.829
8/17/2018,52.2515,55.8061,34.5043,27.4878,6.2982,64.7524
8/16/2018,52.1202,55.1801,34.5167,27.4308,6.26,64.561
8/15/2018,51.9233,54.8598,34.5167,27.5106,6.2855,64.3503
8/14/2018,51.6082,55.1801,34.3315,27.26,6.2344,64.6376
8/13/2018,51.4113,54.1755,34.3439,27.4194,6.2344,64.3503
8/10/2018,51.4506,54.8598,34.3562,27.4422,6.26,64.4652
8/9/2018,51.2012,56.6359,34.1711,27.0321,6.1578,64.7524
8/8/2018,51.083,57.1892,34.1341,26.736,6.094,64.8673
8/7/2018,51.3194,57.1892,34.06,26.7246,6.0813,64.9631
